Stroke,Name in PRC,Abbr[3][4],Full Name,Dictionary meaning and Note,Example characters,Encoding,Utf8_char
Cjk m str h.svgCjk m str sh.svg,横,H,Héng,"一 yī, ""cardinal number one"", ""alone"" (Radical 1 一).",二 三 丁 丞 丈 世 不 上 十 卅 七,U+31D0 ,㇐
Cjk m str u.svg,提,T,Tí, ,冰 淋 病 孑 治 冶 冽 暴 氾 录 地 虫,U+31C0 ,㇀
Cjk m str hj.svgCjk m str uj.svg,横钩,HG,Héng Gōu,"乛 wān, ya, zhé (折) turning stroke / to break (Radical: Variant form of 乙 yǐ).",疋 了 危 予 矛 子 字 令 疏 写 冖,U+31D6 ,㇖
Cjk m str ht.svgCjk m str hsv.svg,横撇,HP,Héng Piě, ,又 水 夕 径 炙 双 叒 今,U+31C7 ,㇇
Cjk m str hv.svg,横折,HZ,Héng Zhé, ,口 囗 己 田 品 吕 申 甲 圆 巪,U+31D5 ,㇕
Cjk m str hvj.svgCjk m str utj.svg,横折钩,HZG,Héng Zhé Gōu,(Radical: Variant form of 乙 yǐ).,羽 习 包 勻 葡 用 青 甫 勺 月 也 乜,U+31C6 ,㇆
Cjk m str hvu.svg,横折提,HZT,Héng Zhé Tí, ,讠 计 鳩,U+31CA ,㇊
Cjk m str hvh.svg,横折折,HZZ,Héng Zhé Zhé, ,凹,U+31C5 ,㇅
Cjk m str ha.svg,横折弯,HZW,Héng Zhé Wān, ,殳 投 朵,U+31CD ,㇍
Cjk m str haj.svgCjk m str hpj.svg,横折弯钩[3]; (横斜钩[4]),HZWG[3]; (HXG[4]),Héng Zhé Wān Gōu[3]; (Héng Xié Gōu[4]),"Unofficial name ""HWG"" is used by Hugo Lopez.[1]",飞 风 瘋 凬 虱 迅 气 九 几,U+31C8 ,㇈
Cjk m str htaj.svg,横斜弯钩[3]; (横折弯钩[4]),HXWG[3];(HZWG[4]),Héng Xié Wān Gōu[3];(Héng Zhé Wān Gōu[4]),"乙 yǐ, niè, ""the second of the ten heavenly stems"", ""second""; zhé (折) turning stroke / to break (Radical 5 乙).",氹 乞 乤 艺,U+31E0 ,㇠
Cjk m str hvhv.svg,横折折折,HZZZ,Héng Zhé Zhé Zhé, ,凸,U+31CE ,㇎
Cjk m str htht.svg,横折折撇,HZZP,Héng Zhé Zhé Piě, ,建 及,U+31CB ,㇋
Cjk m str htcj.svg,横撇弯钩,HPWG,Héng Piě Wān Gōu, ,阝 队 邮,U+31CC ,㇌
Cjk m str hthtj.svg,横折折折钩,HZZZG,Héng Zhé Zhé Zhé Gōu,"𠄎 nǎi, archaic form of 乃 ""then"", ""really, indeed"", ""namely"", ""you, your"".",乃 孕 仍,U+31E1 ,㇡
Cjk m str v.svgCjk m str sv.svg,竖,S,Shù,"丨 gě, gǔn, ""vertical line"" (Radical 2 丨).",丩 中 串 讧 乍 上 五 丑,U+31D1 ,㇑
Cjk m str vj.svg,竖钩,SG,Shù Gōu,"亅 jué, ""a vertical line with a hook"" (Radical 6 亅).",爭 事 求 水,U+31DA ,㇚
Cjk m str vu.svg,竖提,ST,Shù Tí, ,以 比 切 卯 食 良 艮 很 狠 鄉 民,U+31D9 ,㇙
Cjk m str vh.svgCjk m str th.svg,竖折,SZ,Shù Zhé, ,断 陋 继 山 互 彙 牙 乐 东,U+31D7 ,㇗
Cjk m str va.svg,竖弯,SW,Shù Wān, ,區 亡 妄 四,U+31C4 ,㇄
